Task,Mode,Grid,Node_Epsilon,Edge_Epsilon,Total_Graphs,Safe_Graphs,Skipped_Graphs,Avg_Time_s,Total_Verified,Total_Unknown,Total_Violated,Total_Voltage_Nodes,Pct_Verified,Mean_Bound_Width,Max_Bound_Width
PF,node_only,ieee24,1e-05,N/A,100,100,0,0.2219,1291,0,9,1300,99.31,0.000004,0.000182
PF,node_only,ieee24,1e-04,N/A,100,100,0,0.2407,1291,0,9,1300,99.31,0.000041,0.001825
PF,node_only,ieee24,1e-03,N/A,100,100,0,0.6554,1289,3,8,1300,99.15,0.000410,0.018236
PF,node_only,ieee24,1e-02,N/A,100,100,0,5.1107,1075,225,0,1300,82.69,0.010013,0.142345
PF,node_only,ieee39,1e-05,N/A,100,100,0,0.4308,2605,0,295,2900,89.83,0.000012,0.000489
PF,node_only,ieee39,1e-04,N/A,100,100,0,0.6293,2605,0,295,2900,89.83,0.000118,0.004257
PF,node_only,ieee39,1e-03,N/A,100,100,0,2.4460,2600,9,291,2900,89.66,0.001177,0.032881
PF,node_only,ieee39,1e-02,N/A,100,100,0,18.5006,2080,806,14,2900,71.72,0.012040,0.300906
PF,node_only,ieee118,1e-05,N/A,100,100,0,1.3051,5884,0,516,6400,91.94,0.000011,0.000128
PF,node_only,ieee118,1e-04,N/A,100,100,0,1.4655,5883,5,512,6400,91.92,0.000108,0.001305
PF,node_only,ieee118,1e-03,N/A,100,100,0,2.7772,5858,91,451,6400,91.53,0.001088,0.013547
PF,node_only,ieee118,1e-02,N/A,100,100,0,16.9170,4912,1365,123,6400,76.75,0.012154,0.144209
PF,node_edge,ieee24,1e-05,1e-03,100,100,0,0.5010,1291,0,9,1300,99.31,0.000005,0.000227
PF,node_edge,ieee24,1e-04,1e-03,100,100,0,0.5357,1291,0,9,1300,99.31,0.000043,0.001853
PF,node_edge,ieee24,1e-03,1e-03,100,100,0,0.9959,1289,3,8,1300,99.15,0.000411,0.018264
PF,node_edge,ieee24,1e-02,1e-03,100,100,0,5.7902,1074,226,0,1300,82.62,0.010018,0.142390
PF,node_edge,ieee24,1e-05,1e-02,100,100,0,0.5019,1291,0,9,1300,99.31,0.000016,0.000803
PF,node_edge,ieee24,1e-04,1e-02,100,100,0,0.5463,1291,0,9,1300,99.31,0.000053,0.002275
PF,node_edge,ieee24,1e-03,1e-02,100,100,0,1.0046,1289,3,8,1300,99.15,0.000422,0.018517
PF,node_edge,ieee24,1e-02,1e-02,100,100,0,5.8175,1073,227,0,1300,82.54,0.010056,0.142792
PF,node_edge,ieee39,1e-05,1e-03,100,100,0,0.8091,2605,0,295,2900,89.83,0.000013,0.000544
PF,node_edge,ieee39,1e-04,1e-03,100,100,0,1.0341,2605,0,295,2900,89.83,0.000119,0.004300
PF,node_edge,ieee39,1e-03,1e-03,100,100,0,2.9388,2600,9,291,2900,89.66,0.001179,0.032931
PF,node_edge,ieee39,1e-02,1e-03,100,100,0,19.9159,2079,807,14,2900,71.69,0.012042,0.300944
PF,node_edge,ieee39,1e-05,1e-02,100,100,0,0.8539,2605,0,295,2900,89.83,0.000030,0.001036
PF,node_edge,ieee39,1e-04,1e-02,100,100,0,1.0644,2605,0,295,2900,89.83,0.000136,0.004670
PF,node_edge,ieee39,1e-03,1e-02,100,100,0,2.9666,2600,9,291,2900,89.66,0.001194,0.033374
PF,node_edge,ieee39,1e-02,1e-02,100,100,0,19.9933,2077,809,14,2900,71.62,0.012061,0.301290
PF,node_edge,ieee118,1e-05,1e-03,100,100,0,3.8539,5884,0,516,6400,91.94,0.000018,0.000207
PF,node_edge,ieee118,1e-04,1e-03,100,100,0,4.0486,5883,5,512,6400,91.92,0.000115,0.001386
PF,node_edge,ieee118,1e-03,1e-03,100,100,0,5.5434,5858,91,451,6400,91.53,0.001095,0.013628
PF,node_edge,ieee118,1e-02,1e-03,100,100,0,20.7469,4911,1366,123,6400,76.73,0.012162,0.144291
PF,node_edge,ieee118,1e-05,1e-02,100,100,0,4.3715,5883,5,512,6400,91.92,0.000080,0.000957
PF,node_edge,ieee118,1e-04,1e-02,100,100,0,4.5417,5881,8,511,6400,91.89,0.000177,0.002119
PF,node_edge,ieee118,1e-03,1e-02,100,100,0,5.9770,5857,94,449,6400,91.52,0.001158,0.014357
PF,node_edge,ieee118,1e-02,1e-02,100,100,0,21.3144,4904,1373,123,6400,76.62,0.012235,0.145028
OPF,node_only,ieee24,1e-05,N/A,100,100,0,0.2106,1247,0,53,1300,95.92,0.000001,0.000008
OPF,node_only,ieee24,1e-04,N/A,100,100,0,0.2691,1247,0,53,1300,95.92,0.000010,0.000076
OPF,node_only,ieee24,1e-03,N/A,100,100,0,0.8938,1247,1,52,1300,95.92,0.000102,0.000801
OPF,node_only,ieee24,1e-02,N/A,100,100,0,7.6492,1238,21,41,1300,95.23,0.001118,0.008092
OPF,node_only,ieee39,1e-05,N/A,100,100,0,0.4156,2800,0,100,2900,96.55,0.000002,0.000029
OPF,node_only,ieee39,1e-04,N/A,100,100,0,0.5229,2800,0,100,2900,96.55,0.000022,0.000286
OPF,node_only,ieee39,1e-03,N/A,100,100,0,2.0236,2800,0,100,2900,96.55,0.000218,0.002944
OPF,node_only,ieee39,1e-02,N/A,100,100,0,16.4581,2749,57,94,2900,94.79,0.002437,0.028486
OPF,node_only,ieee118,1e-05,N/A,100,100,0,1.3353,6400,0,0,6400,100.00,0.000002,0.000039
OPF,node_only,ieee118,1e-04,N/A,100,100,0,1.7602,6400,0,0,6400,100.00,0.000023,0.000390
OPF,node_only,ieee118,1e-03,N/A,100,100,0,5.7993,6400,0,0,6400,100.00,0.000231,0.004111
OPF,node_only,ieee118,1e-02,N/A,100,100,0,84.0117,6400,0,0,6400,100.00,0.002471,0.031713
